period,state,stateName,technology,sector,sectorName,capacity,customers,capacity-units,customers-units
2017,ND,North Dakota,All Technologies,COM,commercial,.895,6,megawatts,number of customers
2017,ND,North Dakota,All Technologies,IND,industrial,.06,2,megawatts,number of customers
2017,ND,North Dakota,All Technologies,RES,residential,.63,59,megawatts,number of customers
2017,ND,North Dakota,All Technologies,TOT,all sectors,1.585,67,megawatts,number of customers
2017,ND,North Dakota,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,ND,North Dakota,Other Technologies,COM,commercial,,,megawatts,number of customers
2017,ND,North Dakota,Other Technologies,IND,industrial,,,megawatts,number of customers
2017,ND,North Dakota,Other Technologies,RES,residential,,,megawatts,number of customers
2017,ND,North Dakota,Other Technologies,TOT,all sectors,0,0,megawatts,number of customers
2017,ND,North Dakota,Other Technologies,TRN,transportation,,,megawatts,number of customers
2017,ND,North Dakota,Photovoltaic,COM,commercial,.026,2,megawatts,number of customers
2017,ND,North Dakota,Photovoltaic,IND,industrial,0,0,megawatts,number of customers
2017,ND,North Dakota,Photovoltaic,RES,residential,.198,28,megawatts,number of customers
2017,ND,North Dakota,Photovoltaic,TOT,all sectors,.224,30,megawatts,number of customers
2017,ND,North Dakota,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,ND,North Dakota,Wind,COM,commercial,.869,4,megawatts,number of customers
2017,ND,North Dakota,Wind,IND,industrial,.06,2,megawatts,number of customers
2017,ND,North Dakota,Wind,RES,residential,.432,31,megawatts,number of customers
2017,ND,North Dakota,Wind,TOT,all sectors,1.361,37,megawatts,number of customers
2017,ND,North Dakota,Wind,TRN,transportation,0,0,megawatts,number of customers
2017,NE,Nebraska,All Technologies,COM,commercial,1.338,97,megawatts,number of customers
2017,NE,Nebraska,All Technologies,IND,industrial,.317,17,megawatts,number of customers
2017,NE,Nebraska,All Technologies,RES,residential,3.25,389,megawatts,number of customers
2017,NE,Nebraska,All Technologies,TOT,all sectors,4.905,503,megawatts,number of customers
2017,NE,Nebraska,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,NE,Nebraska,Other Technologies,COM,commercial,0,0,megawatts,number of customers
2017,NE,Nebraska,Other Technologies,IND,industrial,0,0,megawatts,number of customers
2017,NE,Nebraska,Other Technologies,RES,residential,0,0,megawatts,number of customers
2017,NE,Nebraska,Other Technologies,TOT,all sectors,0,0,megawatts,number of customers
2017,NE,Nebraska,Other Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,NE,Nebraska,Photovoltaic,COM,commercial,.998,61,megawatts,number of customers
2017,NE,Nebraska,Photovoltaic,IND,industrial,.252,14,megawatts,number of customers
2017,NE,Nebraska,Photovoltaic,RES,residential,2.694,327,megawatts,number of customers
2017,NE,Nebraska,Photovoltaic,TOT,all sectors,3.944,402,megawatts,number of customers
2017,NE,Nebraska,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,NE,Nebraska,Wind,COM,commercial,.34,36,megawatts,number of customers
2017,NE,Nebraska,Wind,IND,industrial,.065,3,megawatts,number of customers
2017,NE,Nebraska,Wind,RES,residential,.556,62,megawatts,number of customers
2017,NE,Nebraska,Wind,TOT,all sectors,.961,101,megawatts,number of customers
2017,NE,Nebraska,Wind,TRN,transportation,0,0,megawatts,number of customers
2017,NH,New Hampshire,All Technologies,COM,commercial,31.845,587,megawatts,number of customers
2017,NH,New Hampshire,All Technologies,IND,industrial,4.361,35,megawatts,number of customers
2017,NH,New Hampshire,All Technologies,RES,residential,47.517,6840,megawatts,number of customers
2017,NH,New Hampshire,All Technologies,TOT,all sectors,83.723,7462,megawatts,number of customers
2017,NH,New Hampshire,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,NH,New Hampshire,Other Technologies,COM,commercial,12.692,41,megawatts,number of customers
2017,NH,New Hampshire,Other Technologies,IND,industrial,.215,3,megawatts,number of customers
2017,NH,New Hampshire,Other Technologies,RES,residential,.105,4,megawatts,number of customers
2017,NH,New Hampshire,Other Technologies,TOT,all sectors,13.012,48,megawatts,number of customers
2017,NH,New Hampshire,Other Technologies,TRN,transportation,,,megawatts,number of customers
2017,NH,New Hampshire,Photovoltaic,COM,commercial,18.629,524,megawatts,number of customers
2017,NH,New Hampshire,Photovoltaic,IND,industrial,4.146,32,megawatts,number of customers
2017,NH,New Hampshire,Photovoltaic,RES,residential,46.919,6756,megawatts,number of customers
2017,NH,New Hampshire,Photovoltaic,TOT,all sectors,69.694,7312,megawatts,number of customers
2017,NH,New Hampshire,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
